Round,a\b,G,C,P
Round 158
,G,1,0,0
,C,80,6,2
,P,4,6,1

Round 159
,G,2,28,17
,C,2,24,22
,P,1,2,2

Round 160
,G,1,0,0
,C,36,22,3
,P,19,19,0

Round 161
,G,2,31,14
,C,10,19,18
,P,0,6,0

Round 162
,G,2,11,5
,C,26,17,7
,P,14,17,1

Round 163
,G,1,23,19
,C,17,24,7
,P,4,5,0

Round 164
,G,0,12,3
,C,39,17,7
,P,19,3,0

Round 165
,G,3,31,20
,C,8,18,4
,P,6,7,3

Round 166
,G,5,8,6
,C,33,16,6
,P,14,10,2

Round 167
,G,3,11,22
,C,6,9,5
,P,20,22,2

Round 168
,G,3,8,14
,C,27,10,12
,P,20,5,1

Round 169
,G,8,14,21
,C,8,6,6
,P,17,18,2

Round 170
,G,4,6,6
,C,26,21,13
,P,14,8,2

Round 171
,G,2,36,20
,C,15,13,7
,P,1,5,1

Round 172
,G,3,7,1
,C,36,28,5
,P,15,5,0

Round 173
,G,1,39,13
,C,7,25,11
,P,1,3,0

Round 174
,G,1,12,4
,C,32,14,9
,P,18,10,0

Round 175
,G,0,25,22
,C,7,9,9
,P,14,13,1

Round 176
,G,2,3,21
,C,13,6,23
,P,24,7,1

Round 177
,G,2,22,15
,C,12,13,10
,P,8,16,2

Round 178
,G,4,12,5
,C,23,13,13
,P,11,13,6

Round 179
,G,3,28,14
,C,12,15,15
,P,3,10,0

Round 180
,G,3,2,16
,C,28,7,13
,P,20,7,4

Round 181
,G,2,35,20
,C,1,12,2
,P,14,14,0

Round 182
,G,1,3,2
,C,51,14,8
,P,15,3,3

Round 183
,G,1,10,11
,C,16,10,11
,P,11,20,10

Round 184
,G,2,5,3
,C,31,9,12
,P,19,12,7

Round 185
,G,2,38,21
,C,7,7,7
,P,4,9,5

Round 186
,G,0,10,8
,C,19,7,20
,P,16,17,3

Round 187
,G,0,14,23
,C,12,2,3
,P,20,22,4

Round 188
,G,3,0,9
,C,50,5,9
,P,22,1,1

Round 189
,G,1,69,20
,C,0,8,2
,P,0,0,0

Round 190
,G,2,0,1
,C,66,9,1
,P,20,0,1

Round 191
,G,4,26,14
,C,16,7,6
,P,5,14,8

Round 192
,G,4,13,7
,C,17,12,17
,P,12,9,9

Round 193
,G,1,31,17
,C,6,5,12
,P,10,16,2

Round 194
,G,2,9,7
,C,27,10,13
,P,14,8,10

Round 195
,G,2,24,17
,C,19,7,5
,P,8,14,4

Round 196
,G,2,4,17
,C,28,1,19
,P,24,2,3

Round 197
,G,2,66,18
,C,1,9,2
,P,0,2,0

Round 198
,G,0,4,0
,C,63,9,2
,P,20,2,0

Round 199
,G,5,16,14
,C,10,11,6
,P,9,20,9

Round 200
,G,0,7,4
,C,25,8,17
,P,21,13,5

Round 201
,G,3,28,15
,C,11,24,5
,P,2,12,0

Round 202
,G,1,8,4
,C,27,14,13
,P,17,12,4

Round 203
,G,3,25,17
,C,7,22,7
,P,8,9,2

Round 204
,G,2,8,7
,C,20,12,23
,P,15,11,2

Round 205
,G,4,22,10
,C,10,14,7
,P,6,21,6

Round 206
,G,1,5,7
,C,25,13,17
,P,19,6,7

Round 207
,G,1,33,22
,C,10,15,1
,P,0,17,1

Round 208
,G,0,1,0
,C,42,30,6
,P,12,9,0

Round 209
,G,1,43,9
,C,5,25,11
,P,0,6,0

Round 210
,G,1,9,5
,C,31,16,15
,P,12,8,3

Round 211
,G,1,29,14
,C,13,20,6
,P,4,12,1

Round 212
,G,0,5,3
,C,36,22,11
,P,10,9,4

Round 213
,G,2,34,16
,C,4,35,4
,P,0,5,0

Round 214
,G,1,6,13
,C,14,14,20
,P,23,5,4

Round 215
,G,0,15,25
,C,7,11,3
,P,15,21,3

Round 216
,G,3,4,22
,C,9,2,27
,P,24,4,5

Round 217
,G,2,29,15
,C,12,13,6
,P,3,20,0

Round 218
,G,1,3,1
,C,43,24,6
,P,11,11,0

Round 219
,G,1,46,10
,C,1,29,11
,P,0,2,0

Round 220
,G,0,2,0
,C,42,26,5
,P,11,13,1

Round 221
,G,5,29,11
,C,6,10,12
,P,6,17,4

Round 222
,G,0,3,24
,C,12,8,23
,P,27,3,0

Round 223
,G,6,28,13
,C,3,25,8
,P,2,11,4

Round 224
,G,0,1,1
,C,33,24,14
,P,15,10,2

Round 225
,G,0,36,15
,C,3,25,7
,P,1,12,1

Round 226
,G,2,4,19
,C,16,7,22
,P,26,3,1

Round 227
,G,3,20,19
,C,9,9,6
,P,10,19,5

Round 228
,G,0,2,20
,C,14,9,26
,P,24,5,0

