Round,a\b,G,C,P
,P,4,11,3

Round 138
,G,1,10,14
,C,19,18,13
,P,4,19,2

Round 139
,G,0,31,0
,C,2,31,1
,P,0,33,2

Round 140
,G,0,17,8
,C,12,19,21
,P,2,11,10

Round 141
,G,0,25,1
,C,1,2,45
,P,0,23,3

Round 142
,G,8,11,11
,C,4,7,26
,P,2,28,3

Round 143
,G,3,10,8
,C,10,9,34
,P,2,21,3

Round 144
,G,2,5,2
,C,3,9,41
,P,2,31,5

Round 145
,G,4,9,15
,C,10,9,30
,P,5,9,9

Round 146
,G,5,11,11
,C,12,17,25
,P,1,15,3

Round 147
,G,0,7,4
,C,1,6,43
,P,1,36,2

Round 148
,G,5,7,5
,C,3,2,37
,P,4,34,3

Round 149
,G,1,17,12
,C,10,16,23
,P,2,16,3

Round 150
,G,0,1,1
,C,0,3,48
,P,0,47,0

Round 151
,G,12,22,4
,C,5,24,15
,P,4,12,2

Round 152
,G,1,20,5
,C,3,8,36
,P,3,19,5

Round 153
,G,0,15,0
,C,3,19,32
,P,0,31,0

Round 154
,G,2,19,11
,C,12,17,25
,P,1,12,1

Round 155
,G,0,13,3
,C,5,9,35
,P,1,32,2

Round 156
,G,3,7,12
,C,7,8,33
,P,4,23,3

Round 157
,G,4,14,6
,C,6,4,38
,P,1,25,2

Round 158
,G,3,12,11
,C,14,9,31
,P,2,15,3

Round 159
,G,1,14,7
,C,14,10,28
,P,3,21,2

Round 160
,G,3,9,6
,C,7,8,33
,P,2,28,4

Round 161
,G,0,9,7
,C,6,18,25
,P,5,25,5

Round 162
,G,7,13,11
,C,3,16,30
,P,5,15,0

Round 163
,G,5,12,14
,C,8,11,21
,P,9,19,1

Round 164
,G,4,13,15
,C,14,16,14
,P,12,5,7

Round 165
,G,5,17,3
,C,10,12,12
,P,21,12,8

Round 166
,G,8,15,14
,C,14,11,19
,P,3,13,3

Round 167
,G,11,21,3
,C,13,8,12
,P,15,9,8

Round 168
,G,11,16,13
,C,15,11,16
,P,5,7,6

Round 169
,G,5,19,9
,C,16,19,16
,P,0,5,11

Round 170
,G,4,7,9
,C,9,21,23
,P,11,10,6

Round 171
,G,9,11,18
,C,12,10,23
,P,3,8,6

Round 172
,G,3,20,10
,C,13,19,14
,P,6,12,3

Round 173
,G,4,11,9
,C,14,16,18
,P,7,14,7

Round 174
,G,5,11,12
,C,12,13,21
,P,8,12,6

Round 175
,G,5,13,13
,C,10,17,22
,P,5,9,6

Round 176
,G,3,21,6
,C,12,19,13
,P,8,3,15

Round 177
,G,5,16,11
,C,11,14,23
,P,5,10,5

Round 178
,G,3,11,8
,C,12,12,30
,P,12,2,10

Round 179
,G,7,11,13
,C,15,21,19
,P,4,6,4

Round 180
,G,9,11,17
,C,13,17,15
,P,6,6,6

Round 181
,G,4,7,8
,C,7,7,33
,P,2,32,0

Round 182
,G,10,10,12
,C,14,15,12
,P,10,11,6

Round 183
,G,11,10,12
,C,15,13,15
,P,5,15,4

Round 184
,G,6,12,8
,C,18,12,19
,P,3,18,4

Round 185
,G,3,16,9
,C,19,20,9
,P,9,12,3

Round 186
,G,6,6,15
,C,14,9,26
,P,6,13,5

Round 187
,G,0,12,12
,C,5,8,28
,P,8,25,2

Round 188
,G,8,2,10
,C,3,10,30
,P,11,22,4

Round 189
,G,1,1,10
,C,3,6,37
,P,10,32,0

Round 190
,G,6,9,17
,C,12,15,15
,P,13,12,1

Round 191
,G,10,6,14
,C,16,17,15
,P,6,13,3

Round 192
,G,5,14,8
,C,16,21,15
,P,6,15,0

Round 193
,G,1,15,5
,C,9,24,11
,P,11,17,7

Round 194
,G,0,18,3
,C,15,28,9
,P,8,13,6

Round 195
,G,3,5,10
,C,11,17,19
,P,10,17,8

Round 196
,G,2,9,10
,C,15,11,23
,P,8,16,6

Round 197
,G,4,14,8
,C,16,10,21
,P,6,17,4

Round 198
,G,3,6,13
,C,11,18,24
,P,6,15,4

Round 199
,G,1,4,16
,C,8,17,20
,P,12,14,8

Round 200
,G,0,7,7
,C,13,25,13
,P,5,22,8

Round 201
,G,5,18,12
,C,11,13,14
,P,5,20,2

Round 202
,G,14,7,21
,C,24,2,8
,P,10,6,8

Round 203
,G,22,3,26
,C,14,4,5
,P,16,2,8

Round 204
,G,10,4,25
,C,9,7,15
,P,14,10,6

Round 205
,G,22,4,19
,C,10,8,6
,P,15,5,11

Round 206
,G,17,3,23
,C,13,4,12
,P,10,9,9

Round 207
,G,4,3,17
,C,17,5,18
,P,16,11,9

Round 208
,G,6,4,23
,C,15,7,8
,P,24,5,8

Round 209
,G,7,1,11
,C,7,2,31
,P,6,32,3

Round 210
,G,8,5,18
,C,14,2,16
,P,11,14,12

Round 211
,G,11,10,17
,C,15,4,13
,P,10,6,14

Round 212
,G,13,3,20
,C,17,6,11
,P,15,12,3

Round 213
,G,7,3,24
,C,15,8,14
,P,21,6,2

Round 214
,G,4,3,10
,C,12,4,28
,P,7,29,3

Round 215
,G,13,2,15
,C,10,1,20
,P,12,20,7

Round 216
,G,11,2,28
,C,14,2,5
,P,26,4,8

Round 217
,G,7,2,23
,C,14,2,9
,P,20,9,14

Round 218
,G,8,4,22
,C,20,3,13
,P,20,5,5

Round 219
,G,5,0,22
,C,22,5,16
,P,16,3,11

Round 220
,G,0,8,33
,C,9,1,16
,P,9,16,8

Round 221
,G,4,1,21
,C,23,5,11
,P,17,13,5

Round 222
,G,5,1,24
,C,32,3,10
,P,11,7,7

Round 223
,G,4,0,21
,C,24,4,16
,P,18,6,7

Round 224
,G,4,2,19
,C,18,3,15
,P,21,13,5

Round 225
,G,1,2,17
,C,22,2,16
,P,19,14,7

Round 226
,G,4,1,17
,C,24,2,14
,P,17,12,9

Round 227
,G,0,5,11
,C,8,4,28
,P,12,30,2

Round 228
,G,1,2,13
,C,9,5,26
,P,13,31,0

Round 229
,G,6,9,8
,C,19,18,7
,P,12,10,11

Round 230
,G,4,6,18
,C,18,10,9
,P,18,8,9

Round 231
,G,3,4,32
,C,38,6,5
,P,4,4,4

Round 232
,G,16,1,17
,C,21,1,21
,P,19,3,1

Round 233
,G,4,0,22
,C,24,1,19
,P,29,0,1

Round 234
,G,4,5,17
,C,18,7,15
,P,27,5,2

Round 235
,G,4,3,17
,C,17,5,15
,P,25,7,7

Round 236
,G,3,4,11
,C,19,3,20
,P,24,12,4

Round 237
,G,2,9,17
,C,11,3,16
,P,35,7,0

Round 238
,G,9,3,15
,C,21,4,18
,P,17,8,5

Round 239
,G,11,1,14
,C,13,1,23
,P,26,0,11

Round 240
,G,7,7,13
,C,8,13,14
,P,26,12,0

Round 241
,G,5,7,11
,C,14,14,12
,P,25,8,4

Round 242
,G,7,5,15
,C,11,7,17
,P,24,9,5

Round 243
,G,5,7,13
,C,9,6,18
,P,24,8,10

Round 244
,G,9,7,18
,C,8,10,6
,P,16,11,15

Round 245
,G,6,6,15
,C,12,10,12
,P,16,11,12

Round 246
,G,4,6,17
,C,12,3,14
,P,21,17,6

Round 247
,G,2,4,18
,C,2,2,18
,P,47,5,2

Round 248
,G,4,3,17
,C,4,4,17
,P,45,4,2

Round 249
,G,2,1,19
,C,3,2,19
,P,52,2,0

Round 250
,G,3,1,22
,C,8,4,17
,P,42,1,2

Round 251
,G,1,0,17
,C,8,1,22
,P,37,7,7

Round 252
,G,2,4,20
,C,8,11,12
,P,26,16,1

Round 253
,G,1,1,22
,C,5,9,11
,P,33,14,4

Round 254
,G,2,1,17
,C,11,2,17
,P,34,9,7

Round 255
,G,2,0,25
,C,12,1,14
,P,34,9,3

Round 256
,G,2,6,23
,C,16,2,14
,P,22,8,7

Round 257
,G,5,9,23
,C,18,3,11
,P,15,9,7

Round 258
,G,10,9,18
,C,13,5,12
,P,16,10,7

Round 259
,G,7,2,23
,C,4,6,15
,P,26,16,1

Round 260
,G,2,1,26
,C,11,1,14
,P,28,15,2

Round 261
,G,1,1,18
,C,9,9,16
,P,25,19,2

Round 262
,G,9,2,22
,C,6,1,16
,P,28,12,4

Round 263
,G,10,2,27
,C,3,1,13
,P,30,14,0

Round 264
,G,11,0,28
,C,8,1,12
,P,30,9,1

Round 265
,G,3,2,33
,C,2,1,15
,P,33,9,2

Round 266
,G,4,3,24
,C,4,2,13
,P,31,11,8

Round 267
,G,2,2,24
,C,9,3,13
,P,28,12,7

Round 268
,G,1,0,34
,C,1,1,14
,P,36,12,1

Round 269
,G,7,5,20
,C,3,10,16
,P,30,8,1

Round 270
,G,6,2,22
,C,2,9,17
,P,32,8,2

Round 271
,G,10,4,14
,C,9,9,19
,P,27,3,5

Round 272
,G,15,2,16
,C,3,15,16
,P,30,1,2

Round 273
,G,8,0,21
,C,9,6,17
,P,33,5,1

Round 274
,G,6,1,20
,C,12,6,17
,P,31,6,1

Round 275
,G,5,2,20
,C,13,5,13
,P,28,9,5

Round 276
,G,6,0,21
,C,11,5,16
,P,30,9,2

Round 277
,G,7,0,18
,C,13,7,19
,P,30,6,0

Round 278
,G,4,1,19
,C,16,6,16
,P,29,8,1

Round 279
,G,11,4,16
,C,11,11,13
,P,26,6,2

Round 280
,G,15,0,16
,C,3,16,16
,P,31,2,1

Round 281
,G,1,12,24
,C,14,1,7
,P,26,12,3

Round 282
,G,10,3,23
,C,7,2,15
,P,27,8,5

Round 283
,G,2,1,21
,C,30,1,4
,P,21,2,18

Round 284
,G,3,3,17
,C,17,5,12
,P,25,10,8

Round 285
,G,11,3,23
,C,13,1,13
,P,21,3,12

Round 286
,G,9,6,21
,C,11,1,13
,P,26,6,7

Round 287
,G,10,4,21
,C,14,3,11
,P,25,4,8

Round 288
,G,10,1,25
,C,8,3,13
,P,27,8,5

Round 289
,G,7,0,21
,C,15,1,15
,P,22,7,12

Round 290
,G,8,3,22
,C,12,3,12
,P,28,10,2

Round 291
,G,16,0,29
,C,10,1,10
,P,24,10,0

Round 292
,G,0,0,28
,C,17,1,9
,P,28,8,9

Round 293
,G,0,0,28
,C,16,1,10
,P,28,7,10

Round 294
,G,4,2,26
,C,15,3,12
,P,26,6,6

Round 295
,G,8,0,24
,C,12,2,12
,P,27,8,7

Round 296
,G,12,3,16
,C,15,4,15
,P,17,17,1

Round 297
,G,13,1,20
,C,12,2,17
,P,20,9,6

Round 298
,G,7,7,18
,C,16,6,14
,P,20,9,3

Round 299
,G,16,0,16
,C,16,1,17
,P,18,16,0

Round 300
,G,15,2,16
,C,8,9,12
,P,18,20,0

Round 301
,G,6,0,18
,C,8,6,14
,P,30,17,1

Round 302
,G,3,1,40
,C,2,2,4
,P,44,3,1

Round 303
,G,2,1,42
,C,1,3,3
,P,43,3,2

Round 304
,G,1,0,47
,C,1,1,1
,P,47,0,2

Round 305
,G,1,0,40
,C,3,4,3
,P,44,2,3

Round 306
,G,2,1,42
,C,0,1,3
,P,46,1,4

Round 307
,G,0,0,46
,C,0,1,3
,P,49,1,0

Round 308
,G,2,0,45
,C,1,1,2
,P,46,1,2

Round 309
,G,4,0,39
,C,3,1,6
,P,43,1,3

Round 310
,G,3,1,41
,C,2,3,3
,P,45,2,0

Round 311
,G,0,0,38
,C,2,2,6
,P,44,3,5

Round 312
,G,2,2,35
,C,6,3,6
,P,37,5,4

Round 313
,G,2,0,44
,C,2,2,2
,P,46,0,2

Round 314
,G,2,1,42
,C,0,5,2
,P,44,4,0

Round 315
,G,0,2,34
,C,1,5,8
,P,42,7,1

Round 316
,G,2,2,38
,C,3,1,5
,P,44,5,0

Round 317
,G,3,1,43
,C,3,1,2
,P,44,0,3

Round 318
,G,0,1,46
,C,0,1,2
,P,50,0,0

Round 319
,G,2,0,44
,C,1,1,4
,P,46,2,0

Round 320
,G,0,1,42
,C,0,4,3
,P,47,2,1

Round 321
,G,0,0,38
,C,2,1,8
,P,46,4,1

Round 322
,G,1,0,40
,C,4,2,5
,P,43,4,1

Round 323
,G,0,0,43
,C,3,2,3
,P,45,2,2

Round 324
,G,2,1,40
,C,2,2,4
,P,44,2,3

Round 325
,G,3,0,21
,C,3,13,14
,P,42,1,3

Round 326
,G,0,0,16
,C,1,17,17
,P,46,1,2

Round 327
,G,0,0,45
,C,1,2,2
,P,47,1,2

Round 328
,G,1,0,44
,C,3,2,1
,P,45,2,2

Round 329
,G,2,1,36
,C,1,4,7
,P,42,2,5

Round 330
,G,0,0,22
,C,0,8,17
,P,38,8,7

Round 331
,G,1,0,35
,C,5,3,6
,P,41,3,6

Round 332
,G,3,0,14
,C,6,5,21
,P,33,13,5

Round 333
,G,0,0,3
,C,1,4,33
,P,42,16,1

Round 334
,G,3,1,30
,C,2,4,11
,P,40,8,1

Round 335
,G,3,2,37
,C,4,0,7
,P,41,2,4

Round 336
,G,3,0,46
,C,1,1,1
,P,47,1,0

Round 337
,G,0,1,30
,C,1,2,14
,P,45,7,0

Round 338
,G,2,2,31
,C,3,2,9
,P,39,6,6

Round 339
,G,3,0,31
,C,4,1,12
,P,37,5,7

Round 340
,G,2,1,44
,C,2,2,2
,P,44,2,1

Round 341
,G,3,1,36
,C,5,0,9
,P,39,3,4

Round 342
,G,1,3,32
,C,4,5,7
,P,38,5,5

Round 343
,G,0,2,45
,C,3,1,1
,P,46,1,1

Round 344
,G,0,1,14
,C,2,1,26
,P,41,13,2

Round 345
,G,2,2,38
,C,6,1,5
,P,40,4,2

Round 346
,G,1,2,39
,C,3,1,5
,P,42,6,1

Round 347
,G,4,1,33
,C,4,2,9
,P,37,8,2

Round 348
,G,4,2,42
,C,2,1,2
,P,44,3,0

Round 349
,G,1,2,31
,C,6,3,9
,P,37,9,2

Round 350
,G,1,2,30
,C,1,5,11
,P,38,11,1

Round 351
,G,1,1,30
,C,4,5,11
,P,34,5,9

Round 352
,G,0,1,36
,C,1,5,6
,P,41,8,2

Round 353
,G,3,5,32
,C,3,5,8
,P,32,7,5

Round 354
,G,0,1,43
,C,1,2,4
,P,44,5,0

Round 355
,G,0,0,32
,C,2,5,12
,P,40,9,0

Round 356
,G,1,4,39
,C,2,4,3
,P,42,4,1

Round 357
,G,2,3,38
,C,2,4,5
,P,39,5,2

Round 358
,G,1,1,44
,C,2,1,2
,P,46,3,0

Round 359
,G,1,1,43
,C,2,1,3
,P,47,2,0

Round 360
,G,2,1,44
,C,2,1,2
,P,45,3,0

Round 361
,G,2,0,41
,C,1,2,4
,P,46,3,1

Round 362
,G,2,1,40
,C,1,1,5
