Round,a\b,G,C,P
,G,1,3,3
,C,16,18,7
,P,10,34,8

Round 141
,G,9,15,23
,C,10,6,4
,P,3,21,9

Round 142
,G,3,7,59
,C,2,1,11
,P,3,10,4

Round 143
,G,2,13,51
,C,2,5,13
,P,4,8,2

Round 144
,G,5,4,63
,C,1,1,16
,P,2,6,2

Round 145
,G,9,22,28
,C,2,6,15
,P,5,7,6

Round 146
,G,0,25,16
,C,11,8,6
,P,12,20,2

Round 147
,G,4,9,37
,C,10,7,17
,P,1,9,6

Round 148
,G,1,10,24
,C,9,8,13
,P,12,21,2

Round 149
,G,2,13,15
,C,7,9,13
,P,14,22,5

Round 150
,G,5,15,29
,C,0,4,16
,P,5,17,9

Round 151
,G,10,11,4
,C,9,2,4
,P,23,37,0

Round 152
,G,8,13,11
,C,10,4,4
,P,11,30,9

Round 153
,G,5,14,13
,C,10,6,4
,P,13,24,11

Round 154
,G,17,12,1
,C,16,4,2
,P,9,37,2

Round 155
,G,3,12,27
,C,7,3,16
,P,3,19,10

Round 156
,G,14,12,5
,C,8,8,3
,P,19,25,6

Round 157
,G,16,10,5
,C,5,7,2
,P,25,27,3

Round 158
,G,5,4,28
,C,1,4,3
,P,0,30,25

Round 159
,G,16,9,2
,C,8,5,2
,P,24,29,5

Round 160
,G,4,22,27
,C,4,4,17
,P,2,11,9

Round 161
,G,3,8,2
,C,9,22,6
,P,26,19,5

Round 162
,G,3,8,2
,C,11,11,9
,P,11,39,6

Round 163
,G,1,6,3
,C,5,21,6
,P,30,24,4

Round 164
,G,0,5,2
,C,9,30,5
,P,30,17,2

Round 165
,G,2,7,1
,C,3,22,7
,P,39,18,1

Round 166
,G,2,5,2
,C,15,18,5
,P,32,20,1

Round 167
,G,0,6,5
,C,11,27,3
,P,19,28,1

Round 168
,G,2,9,7
,C,15,10,15
,P,16,23,3

Round 169
,G,2,6,3
,C,6,25,5
,P,22,27,4

Round 170
,G,1,2,1
,C,4,26,1
,P,32,31,2

Round 171
,G,1,8,4
,C,10,26,24
,P,2,14,11

Round 172
,G,0,3,2
,C,13,29,25
,P,3,14,11

Round 173
,G,0,1,3
,C,3,31,30
,P,3,15,14

Round 174
,G,1,2,2
,C,11,33,22
,P,7,11,11

Round 175
,G,0,8,4
,C,8,26,31
,P,2,12,9

Round 176
,G,1,4,7
,C,7,27,23
,P,7,15,9

Round 177
,G,3,1,2
,C,13,27,19
,P,11,15,9

Round 178
,G,0,1,3
,C,11,30,20
,P,8,17,10

Round 179
,G,1,7,4
,C,22,26,15
,P,20,4,1

Round 180
,G,0,8,10
,C,21,23,12
,P,11,11,4

Round 181
,G,0,0,1
,C,2,52,27
,P,0,10,8

Round 182
,G,0,0,1
,C,8,39,28
,P,0,18,6

Round 183
,G,0,0,1
,C,4,7,2
,P,6,76,4

Round 184
,G,0,1,4
,C,16,31,25
,P,5,15,3

Round 185
,G,0,2,1
,C,7,16,7
,P,13,41,13

Round 186
,G,1,1,3
,C,0,3,1
,P,2,84,5

Round 187
,G,1,2,1
,C,25,36,5
,P,3,16,11

Round 188
,G,0,1,1
,C,3,11,4
,P,3,71,6

Round 189
,G,0,2,1
,C,5,10,18
,P,5,55,4

Round 190
,G,1,3,3
,C,16,32,10
,P,5,21,9

Round 191
,G,2,6,1
,C,8,19,6
,P,17,32,9

Round 192
,G,1,2,1
,C,10,12,4
,P,18,46,6

Round 193
,G,5,7,3
,C,12,10,2
,P,21,31,9

Round 194
,G,1,5,8
,C,16,11,3
,P,4,38,14

Round 195
,G,2,1,4
,C,15,15,9
,P,15,33,6

Round 196
,G,0,0,2
,C,1,20,0
,P,10,54,13

Round 197
,G,3,3,0
,C,9,10,3
,P,15,48,9

Round 198
,G,2,3,3
,C,13,15,2
,P,21,33,8

Round 199
,G,3,0,2
,C,12,6,1
,P,17,53,6

Round 200
,G,5,4,2
,C,7,7,1
,P,13,55,6

Round 201
,G,1,5,1
,C,4,32,4
,P,9,38,6

Round 202
,G,1,4,1
,C,2,29,3
,P,4,48,8

Round 203
,G,1,2,1
,C,15,40,3
,P,3,28,7

Round 204
,G,0,1,0
,C,0,32,3
,P,7,54,3

Round 205
,G,4,3,0
,C,2,28,4
,P,7,48,4

Round 206
,G,4,13,0
,C,11,35,13
,P,2,21,1

Round 207
,G,3,7,0
,C,4,34,8
,P,4,40,0

Round 208
,G,2,6,1
,C,7,42,6
,P,8,27,1

Round 209
,G,1,4,0
,C,10,32,7
,P,11,33,2

Round 210
,G,0,8,0
,C,21,28,2
,P,6,33,2

Round 211
,G,0,0,1
,C,3,3,1
,P,2,87,3

Round 212
,G,0,3,2
,C,5,2,2
,P,19,59,8

Round 213
,G,0,2,1
,C,3,6,3
,P,4,75,6

Round 214
,G,0,7,1
,C,4,11,1
,P,11,57,8

Round 215
,G,0,1,1
,C,4,4,2
,P,4,82,2

Round 216
,G,0,1,1
,C,2,5,2
,P,3,84,2

Round 217
,G,1,1,1
,C,3,13,2
,P,21,58,0

Round 218
,G,0,3,1
,C,4,7,1
,P,4,76,4

Round 219
,G,0,1,1
,C,5,2,0
,P,2,86,3

Round 220
,G,0,3,1
,C,0,7,1
,P,8,75,5

Round 221
,G,0,0,0
,C,0,1,0
,P,3,93,3

Round 222
,G,0,0,0
,C,0,1,1
,P,2,95,1

Round 223
,G,0,0,0
,C,0,0,1
,P,0,99,0

Round 224
,G,0,0,0
,C,0,0,1
,P,1,95,3

Round 225
,G,0,0,0
,C,0,1,0
,P,3,94,2

Round 226
,G,0,0,0
,C,0,4,0
,P,10,83,3

Round 227
,G,0,0,0
,C,0,2,0
,P,6,89,3
